word,pos,source
above,preposition,パス単
abroad,adverb,パス単
accident,noun,パス単
across,preposition,パス単
act,verb,パス単
action,noun,パス単
activity,noun,パス単
actor,noun,パス単
actress,noun,パス単
actually,adverb,パス単
add,verb,パス単
address,noun,パス単
adult,noun,パス単
adventure,noun,パス単
advice,noun,パス単
afraid,adjective,パス単
again,adverb,パス単
against,preposition,パス単
age,noun,パス単
ago,adverb,パス単
air,noun,パス単
airport,noun,パス単
alarm,noun,パス単
alive,adjective,パス単
all,pronoun,パス単
almost,adverb,パス単
alone,adjective,パス単
along,preposition,パス単
already,adverb,パス単
also,adverb,パス単
although,conjunction,パス単
a.m.,acronym,パス単
amazing,adjective,パス単
among,preposition,パス単
angry,adjective,パス単
animal,noun,パス単
another,adjective,パス単
answer,noun,パス単
anymore,adverb,パス単
anyone,pronoun,パス単
anything,pronoun,パス単
anytime,adverb,パス単
anyway,adverb,パス単
anywhere,adverb,パス単
apartment,noun,パス単
appear,verb,パス単
aquarium,noun,パス単
area,noun,パス単
arm,noun,パス単
army,noun,パス単
around,preposition,パス単
arrive,verb,パス単
as,preposition,パス単
asleep,adjective,パス単
astronaut,noun,パス単
athlete,noun,パス単
attack,verb,パス単
attend,verb,パス単
aunt,noun,パス単
award,noun,パス単
badly,adverb,パス単
badminton,noun,パス単
bake,verb,パス単
bakery,noun,パス単
ballet,noun,パス単
band,noun,パス単
bank,noun,パス単
barbecue,noun,パス単
basket,noun,パス単
bathroom,noun,パス単
beach,noun,パス単
beautiful,adjective,パス単
because,conjunction,パス単
become,verb,パス単
before,conjunction,パス単
begin,verb,パス単
behind,preposition,パス単
believe,verb,パス単
below,adverb,パス単
belt,noun,パス単
beside,preposition,パス単
best,adjective,パス単
better,adjective,パス単
between,preposition,パス単
bicycle,noun,パス単
bike,noun,パス単
billion,numeral,パス単
bit,noun,パス単
block,verb,パス単
body,noun,パス単
boil,verb,パス単
bookstore,noun,パス単
boring,adjective,パス単
borrow,verb,パス単
boss,noun,パス単
both,adjective,パス単
bottle,noun,パス単
bottom,noun,パス単
break,verb,パス単
bridge,noun,パス単
bright,adjective,パス単
bring,verb,パス単
British,adjective,パス単
broken,verb,パス単
build,verb,パス単
building,noun,パス単
burn,verb,パス単
business,noun,パス単
busy,adjective,パス単
butter,noun,パス単
button,noun,パス単
by,preposition,パス単
caf?,noun,パス単
cafeteria,noun,パス単
call,verb,パス単
camera,noun,パス単
camp,verb,パス単
cancel,verb,パス単
capital,noun,パス単
captain,noun,パス単
