word,pos,source
ability,noun,パス単
abroad,adverb,パス単
absent,adjective,パス単
accept,verb,パス単
access,verb,パス単
accident,noun,パス単
accidentally,adverb,パス単
achieve,verb,パス単
achievement,noun,パス単
act,verb,パス単
active,adjective,パス単
activity,noun,パス単
actor,noun,パス単
actually,adverb,パス単
add,verb,パス単
address,noun,パス単
admission,noun,パス単
admit,verb,パス単
adult,noun,パス単
advantage,adjective,パス単
adventure,noun,パス単
advertise,verb,パス単
advertisement,noun,パス単
advice,noun,パス単
advise,verb,パス単
afford,verb,パス単
afraid,adjective,パス単
afterward,adverb,パス単
against,preposition,パス単
agree,verb,パス単
agreement,noun,パス単
ahead,adverb,パス単
aim,noun,パス単
aisle,noun,パス単
alike,adjective,パス単
allergic,adjective,パス単
allow,verb,パス単
almost,adverb,パス単
although,conjunction,パス単
amateur,noun,パス単
amazing,adjective,パス単
amount,noun,パス単
ancestor,noun,パス単
ancient,adjective,パス単
anniversary,noun,パス単
announce,verb,パス単
another,adjective,パス単
anymore,adverb,パス単
anyway,adverb,パス単
apart,adverb,パス単
apartment,noun,パス単
apologize,verb,パス単
apparently,adverb,パス単
appear,verb,パス単
apply,verb,パス単
appointment,noun,パス単
appreciate,verb,パス単
appreciation,noun,パス単
approach,verb,パス単
aquarium,noun,パス単
arctic,adjective,パス単
area,noun,パス単
argue,verb,パス単
argument,noun,パス単
army,noun,パス単
arrange,verb,パス単
arrest,verb,パス単
arrival,noun,パス単
arrive,verb,パス単
article,noun,パス単
asleep,adjective,パス単
assistant,noun,パス単
athlete,noun,パス単
atmosphere,noun,パス単
attack,verb,パス単
attend,verb,パス単
attendant,noun,パス単
attention,noun,パス単
attitude,noun,パス単
attract,verb,パス単
attraction,noun,パス単
audience,noun,パス単
author,noun,パス単
available,adjective,パス単
avenue,noun,パス単
average,noun,パス単
avoid,verb,パス単
award,verb,パス単
awful,adjective,パス単
backyard,noun,パス単
bacteria,noun,パス単
baggage,noun,パス単
bake,verb,パス単
balance,verb,パス単
ballet,noun,パス単
bark,verb,パス単
basic,adjective,パス単
bear,verb,パス単
beat,verb,パス単
beauty,noun,パス単
behave,verb,パス単
behavior,noun,パス単
behind,preposition,パス単
belief,noun,パス単
belong,verb,パス単
below,preposition,パス単
besides,adverb,パス単
beyond,preposition,パス単
bill,noun,パス単
biology,noun,パス単
bite,verb,パス単
blind,adjective,パス単
block,verb,パス単
blossom,noun,パス単
blow,verb,パス単
boring,adjective,パス単
borrow,verb,パス単
boss,noun,パス単
bottom,noun,パス単
brain,noun,パス単
branch,noun,パス単
breathe,verb,パス単
bright,adjective,パス単
brush,verb,パス単
build,verb,パス単
burn,verb,パス単
burst,verb,パス単
butterfly,noun,パス単
calcium,noun,パス単
calm,adjective,パス単
campaign,noun,パス単
cancel,verb,パス単
capital,noun,パス単
care,verb,パス単
careful,adjective,パス単
carpenter,noun,パス単
carry,verb,パス単
cash,noun,パス単
cattle,noun,パス単
cause,verb,パス単
celebrate,verb,パス単
celebration,noun,パス単
center,noun,パス単
central,adjective,パス単
century,noun,パス単
ceremony,noun,パス単
certain,adjective,パス単
chance,noun,パス単
change,verb,パス単
character,noun,パス単
charge,verb,パス単
charity,noun,パス単
charming,adjective,パス単
chase,verb,パス単
cheap,adjective,パス単
check,verb,パス単
cheer,verb,パス単
cheerful,adjective,パス単
chef,noun,パス単
chemistry,noun,パス単
childhood,noun,パス単
choice,noun,パス単
citizen,noun,パス単
claim,verb,パス単
clear,adjective,パス単
climate,noun,パス単
climb,verb,パス単
clinic,noun,パス単
close,verb,パス単
cloth,noun,パス単
clothes,noun,パス単
coach,noun,パス単
coast,noun,パス単
code,noun,パス単
collect,verb,パス単
colored,adjective,パス単
combine,verb,パス単
comfortable,adjective,パス単
commercial,noun,パス単
common,adjective,パス単
communicate,verb,パス単
communication,noun,パス単
community,noun,パス単
compare,verb,パス単
compete,verb,パス単
competition,noun,パス単
complain,verb,パス単
completely,adverb,パス単
concentrate,verb,パス単
concern,verb,パス単
conclusion,noun,パス単
concrete,adjective,パス単
condition,noun,パス単
conference,noun,パス単
confident,adjective,パス単
confuse,verb,パス単
connect,verb,パス単
connection,noun,パス単
consider,verb,パス単
consist,verb,パス単
constant,adjective,パス単
contain,verb,パス単
continue,verb,パス単
control,verb,パス単
convenience,noun,パス単
convenient,adjective,パス単
conversation,noun,パス単
copy,verb,パス単
corner,noun,パス単
corporation,noun,パス単
correct,adjective,パス単
cost,noun,パス単
costume,noun,パス単
count,verb,パス単
countryside,noun,パス単
couple,noun,パス単
courage,noun,パス単
cover,verb,パス単
co-worker,noun,パス単
crash,verb,パス単
create,verb,パス単
creation,noun,パス単
credit,noun,パス単
crime,noun,パス単
crocodile,noun,パス単
crop,noun,パス単
crowd,noun,パス単
cure,verb,パス単
currently,adverb,パス単
custom,noun,パス単
customer,noun,パス単
cute,adjective,パス単
cycle,verb,パス単
damage,verb,パス単
danger,noun,パス単
dangerous,adjective,パス単
data,noun,パス単
date,verb,パス単
dead,adjective,パス単
death,noun,パス単
decide,verb,パス単
decision,noun,パス単
decorate,verb,パス単
decoration,noun,パス単
decrease,verb,パス単
degree,noun,パス単
delay,verb,パス単
delicate,adjective,パス単
delicious,adjective,パス単
delighted,adjective,パス単
deliver,verb,パス単
delivery,noun,パス単
demonstrate,verb,パス単
demonstration,noun,パス単
dentist,noun,パス単
deny,verb,パス単
department,noun,パス単
depend,verb,パス単
dependent,adjective,パス単
describe,verb,パス単
desert,noun,パス単
design,verb,パス単
despite,preposition,パス単
dessert,noun,パス単
destroy,verb,パス単
detail,noun,パス単
develop,verb,パス単
die,verb,パス単
diet,noun,パス単
different,adjective,パス単
difficult,adjective,パス単
difficulty,noun,パス単
dig,verb,パス単
dinosaur,noun,パス単
direct,adjective,パス単
direction,noun,パス単
director,noun,パス単
disappear,verb,パス単
disappoint,verb,パス単
disaster,noun,パス単
discount,noun,パス単
discover,verb,パス単
discovery,noun,パス単
discuss,verb,パス単
disease,noun,パス単
dislike,verb,パス単
display,verb,パス単
distance,noun,パス単
divide,verb,パス単
dormitory,noun,パス単
double,adjective,パス単
downstairs,noun,パス単
dramatic,adjective,パス単
draw,verb,パス単
dress,verb,パス単
drugstore,noun,パス単
earn,verb,パス単
earthquake,noun,パス単
easily,adverb,パス単
economy,noun,パス単
edge,noun,パス単
educate,verb,パス単
education,noun,パス単
effect,noun,パス単
effort,noun,パス単
electricity,noun,パス単
electronic,adjective,パス単
else,adverb,パス単
embarrass,verb,パス単
emergency,noun,パス単
emotion,noun,パス単
employ,verb,パス単
employee,noun,パス単
empty,adjective,パス単
endlessly,adverb,パス単
enemy,noun,パス単
energy,noun,パス単
engine,noun,パス単
engineer,noun,パス単
enjoyable,adjective,パス単
enough,adjective,パス単
enter,verb,パス単
entertain,verb,パス単
entertainment,noun,パス単
entrance,noun,パス単
environment,noun,パス単
environmentally,adverb,パス単
equally,adverb,パス単
equipment,noun,パス単
escape,verb,パス単
especially,adverb,パス単
euro,noun,パス単
even,adverb,パス単
event,noun,パス単
eventually,adverb,パス単
exact,adjective,パス単
exactly,adverb,パス単
examination,noun,パス単
examine,verb,パス単
excellent,adjective,パス単
except,preposition,パス単
exchange,verb,パス単
excuse,noun,パス単
exercise,noun,パス単
exhibit,verb,パス単
exhibition,noun,パス単
exist,verb,パス単
expand,verb,パス単
expect,verb,パス単
expensive,adjective,パス単
experience,noun,パス単
experiment,noun,パス単
expert,noun,パス単
explain,verb,パス単
explanation,noun,パス単
explore,verb,パス単
explorer,noun,パス単
express,verb,パス単
expression,noun,パス単
extra,adjective,パス単
extremely,adverb,パス単
face,verb,パス単
fact,noun,パス単
factor,noun,パス単
factory,noun,パス単
fail,verb,パス単
failure,noun,パス単
fair,adjective,パス単
fairly,adverb,パス単
faith,noun,パス単
familiar,adjective,パス単
fantastic,adjective,パス単
far,adjective,パス単
fare,noun,パス単
fashion,noun,パス単
fat,adjective,パス単
fault,noun,パス単
favor,noun,パス単
fear,noun,パス単
feature,noun,パス単
fee,noun,パス単
feed,verb,パス単
female,noun,パス単
fever,noun,パス単
fight,verb,パス単
figure,noun,パス単
fill,verb,パス単
film,verb,パス単
final,adjective,パス単
finally,adverb,パス単
fit,verb,パス単
fix,verb,パス単
flash,verb,パス単
flashlight,noun,パス単
flat,adjective,パス単
flavor,noun,パス単
flight,noun,パス単
float,verb,パス単
flow,verb,パス単
fold,verb,パス単
follow,verb,パス単
following,adjective,パス単
forecast,noun,パス単
foreign,adjective,パス単
forever,adverb,パス単
forget,verb,パス単
forgive,verb,パス単
form,noun,パス単
formal,adjective,パス単
fortunately,adverb,パス単
fossil,noun,パス単
frame,noun,パス単
frankly,adverb,パス単
freedom,noun,パス単
freeze,verb,パス単
fresh,adjective,パス単
friendly,adjective,パス単
frightened,adjective,パス単
frightening,adjective,パス単
front,noun,パス単
fuel,noun,パス単
fulfill,verb,パス単
full-time,adjective,パス単
furninture,noun,パス単
further,adverb,パス単
future,noun,パス単
gain,verb,パス単
gallery,noun,パス単
garbage,noun,パス単
gather,verb,パス単
general,adjective,パス単
generally,adverb,パス単
generation,noun,パス単
gentle,adjective,パス単
gift,noun,パス単
global,adjective,パス単
goal,noun,パス単
government,noun,パス単
grade,noun,パス単
gradually,adverb,パス単
graduate,verb,パス単
graduation,noun,パス単
grandparent,noun,パス単
greatly,adverb,パス単
grocery,noun,パス単
ground,noun,パス単
grow,verb,パス単
guard,verb,パス単
guess,verb,パス単
guest,noun,パス単
guide,verb,パス単
habit,noun,パス単
handle,verb,パス単
handsome,adjective,パス単
hang,verb,パス単
happen,verb,パス単
hardly,adverb,パス単
harm,adjective,パス単
harmful,noun,パス単
harmony,noun,パス単
harvest,noun,パス単
headache,noun,パス単
health,noun,パス単
healthy,adjective,パス単
height,noun,パス単
helpful,adjective,パス単
hero,noun,パス単
hide,verb,パス単
hire,verb,パス単
historian,noun,パス単
historical,adjective,パス単
hit,verb,パス単
hold,verb,パス単
homestay,noun,パス単
honest,adjective,パス単
honey,noun,パス単
honor,noun,パス単
hopefully,adverb,パス単
horizon,noun,パス単
horror,noun,パス単
housework,noun,パス単
however,adverb,パス単
huge,adjective,パス単
human,noun,パス単
hunt,verb,パス単
hurt,verb,パス単
husband,noun,パス単
idea,noun,パス単
ideal,adjective,パス単
ill,adjective,パス単
image,noun,パス単
imagination,noun,パス単
imagine,verb,パス単
immediately,adverb,パス単
import,verb,パス単
importance,noun,パス単
impress,verb,パス単
improve,verb,パス単
include,verb,パス単
increase,verb,パス単
increasingly,adverb,パス単
indeed,adverb,パス単
individual,adjective,パス単
industry,noun,パス単
influence,noun,パス単
information,noun,パス単
injure,verb,パス単
insect,noun,パス単
inside,adverb,パス単
insist,verb,パス単
instant,adjective,パス単
instead,adverb,パス単
instruction,noun,パス単
instrument,noun,パス単
intelligent,adjective,パス単
interest,noun,パス単
international,adjective,パス単
Internet,noun,パス単
interview,verb,パス単
introduce,verb,パス単
introduction,noun,パス単
invent,verb,パス単
invitation,noun,パス単
invite,verb,パス単
issue,noun,パス単
item,noun,パス単
join,verb,パス単
journey,noun,パス単
judge,verb,パス単
kick,verb,パス単
knowledge,noun,パス単
lack,verb,パス単
lately,adverb,パス単
later,adverb,パス単
lawyer,noun,パス単
lay,verb,パス単
lazy,adjective,パス単
lead,verb,パス単
leave,verb,パス単
legal,adjective,パス単
lend,verb,パス単
let,verb,パス単
level,noun,パス単
license,noun,パス単
lifelong,adjective,パス単
lifetime,adjective,パス単
lift,verb,パス単
lighthouse,noun,パス単
likely,adverb,パス単
limit,verb,パス単
link,verb,パス単
literature,noun,パス単
lobby,noun,パス単
local,adjective,パス単
locate,verb,パス単
location,noun,パス単
lock,verb,パス単
lonely,adjective,パス単
long,adjective,パス単
lose,verb,パス単
loud,adjective,パス単
lower,verb,パス単
