word,pos,source
a/an,article,パス単
about,preposition,パス単
after [前置詞],preposition,パス単
after [接続詞],conjunction,パス単
afternoon,noun,パス単
again,adverb,パス単
airport,noun,パス単
all,adjective/adverb,パス単
also,adverb,パス単
always,adverb,パス単
American,noun,パス単
and,conjunction,パス単
animal,noun,パス単
any,pronoun,パス単
apple,noun,パス単
April,noun,パス単
art,noun,パス単
at,preposition,パス単
August,noun,パス単
aunt,noun,パス単
Australia,noun,パス単
backpack,noun,パス単
badminton,noun,パス単
bag,noun,パス単
ball,noun,パス単
banana,noun,パス単
band,noun,パス単
bank,noun,パス単
baseball,noun,パス単
basket,noun,パス単
basketball,noun,パス単
bathroom,noun,パス単
beach,noun,パス単
beautiful,adjective,パス単
bed,noun,パス単
bedroom,noun,パス単
before [前置詞],preposition,パス単
before [接続詞],conjunction,パス単
begin,verb,パス単
bench,noun,パス単
bicycle,noun,パス単
big,adjective,パス単
bike,noun,パス単
bird,noun,パス単
birthday,noun,パス単
black,adjective,パス単
blackboard,noun,パス単
blue,adjective,パス単
book,noun,パス単
bookstore,noun,パス単
box,noun,パス単
boy,noun,パス単
bread,noun,パス単
breakfast,noun,パス単
bridge,noun,パス単
brother,noun,パス単
brown,adjective,パス単
brush,noun,パス単
burger,noun,パス単
bus,noun,パス単
busy,adjective,パス単
but,conjunction,パス単
butterfly,noun,パス単
buy,verb,パス単
by,preposition,パス単
cafeteria,noun,パス単
cake,noun,パス単
calendar,noun,パス単
camera,noun,パス単
camp,verb,パス単
can,verb,パス単
Canada,noun,パス単
cap,noun,パス単
car,noun,パス単
carrot,noun,パス単
case,noun,パス単
cat,noun,パス単
CD,noun,パス単
cent,noun,パス単
centimeter,noun,パス単
chair,noun,パス単
chalk,noun,パス単
chocolate,noun,パス単
chopsticks,noun,パス単
city,noun,パス単
class,noun,パス単
classmate,noun,パス単
classroom,noun,パス単
clean,verb/adjective,パス単
clock,noun,パス単
close,verb,パス単
cloudy,adjective,パス単
club,noun,パス単
coat,noun,パス単
coffee,noun,パス単
coin,noun,パス単
cold,adjective,パス単
color,noun,パス単
come,verb,パス単
comic,noun,パス単
computer,noun,パス単
concert,noun,パス単
cook,verb,パス単
cookie,noun,パス単
country,noun,パス単
cream,noun,パス単
cucumber,noun,パス単
cup,noun,パス単
cut,verb,パス単
cute,adjective,パス単
dance,verb,パス単
dancer,noun,パス単
date,noun,パス単
daughter,noun,パス単
day,noun,パス単
December,noun,パス単
desk,noun,パス単
dessert,noun,パス単
diary,noun,パス単
dictionary,noun,パス単
dinner,noun,パス単
dish,noun,パス単
do,verb,パス単
doctor,noun,パス単
dog,noun,パス単
doghouse,noun,パス単
dollar,noun,パス単
door,noun,パス単
down,adverb,パス単
drink,verb/noun,パス単
driver,noun,パス単
drum,noun,パス単
easy,adjective,パス単
eat,verb,パス単
egg,noun,パス単
eight,numeral,パス単
eighteen,numeral,パス単
eighth,numeral,パス単
eighty,numeral,パス単
eleven,numeral,パス単
eleventh,numeral,パス単
e-mail,noun,パス単
English,noun,パス単
enjoy,verb,パス単
eraser,noun,パス単
evening,noun,パス単
every,determiner,パス単
exam,noun,パス単
face,noun,パス単
fall,verb,パス単
family,noun,パス単
fast,adverb,パス単
father,noun,パス単
